index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,np,ns,folds,epochs,done,valid,train_loss,validation_loss,top_proba-mean-train-auc,top_proba-mean-validation-auc,top_proba-std-train-auc,top_proba-std-validation-auc
2918977603,cifar10,resnet34,drp=0.3,sgd,lr=0.01,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.898 0.866 0.915,0.889 0.844 0.897,,,,
2941e19b01,cifar10,resnet34,drp=0.3,sgd,lr=0.1,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,1.043 1.141 1.056,1.04 1.222 1.056,,,,
2bd56e5ac9,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.516 0.725 0.548,0.586 0.723 0.576,0.6114718751011663,0.5558084095825915,0.4754552769816345,0.47678350364809513
2e03208ab1,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.977 1.001 0.955,1.035 1.052 0.973,,,,
2e0f96ede1,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.79 0.795 0.803,0.788 0.793 0.811,,,,
33c820d546,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.6,3,15,True,True,0.527 0.538 0.529,0.61 0.619 0.609,0.6876253232802968,0.6204982641161205,0.4755600030552106,0.4576843754665545
36c1d0a5c8,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.464 0.475 0.602,0.572 0.538 0.625,0.6135179584131338,0.5482116532885354,0.4797316876333633,0.47780906099899473
36d0e2c441,cifar10,resnet34,drp=0.3,sgd,lr=0.01,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.964 0.402 0.759,0.993 0.633 0.792,,,,
376f43b880,cifar10,resnet34,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,1.156 1.193 1.146,1.156 1.175 1.11,,,,
390d6b2d69,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.885 0.855 0.862,0.912 0.856 0.885,0.6857234466127874,0.6575915483939205,0.5663303133101704,0.4900567363577983
