index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,loss-mean-train-auc,loss-std-train-auc,loss-mean-validation-auc,loss-std-validation-auc
3f2546262e3,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.1463384754891978,0.6284567826319913,0.15902565908752878,0.5963271739560156
4405a17bdc9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.17561274163470186,0.20603009471350248,0.22984219208793288,0.2626489751537646
47298350fc9,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.10715114898110017,0.15599855955671987,0.16072653867143472,0.23291382367068397
49e790887b8,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2862243858521236,0.3115277009659104,0.31313723084326606,0.33776795237253965
49f7fe1e317,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5639836810305656,0.5088636167385225,0.5648063115900818,0.5203315205146856
4c8cf81cc01,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.12830860565915764,0.24782389546179168,0.16868157035018366,0.3014305035885394
51cc8650b8b,cifar10,xception,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2695830336416504,0.5237903397490522,0.38443029479949586,0.5128950782408193
58d76fcb07e,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.19361245222956427,0.17776877534949959,0.2551899632535731,0.2962228207142981
5dd6c6ac9b0,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.15286005189596452,0.1606725794084966,0.19418303769509518,0.2707059397514081
6960a05ce66,cifar10,xception,drp=0,sgd,lr=0.01,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2179945622688574,0.22745872930786187,0.2611333253859107,0.2933153357230076
