index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,np,ns,folds,epochs,done,valid,train_loss,validation_loss,id2m-train-auc,id2m-validation-auc
2bd56e5ac9,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.516 0.725 0.548,0.586 0.723 0.576,0.6026020534316744,0.550922861671266
2e03208ab1,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.977 1.001 0.955,1.035 1.052 0.973,,
2e0f96ede1,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.79 0.795 0.803,0.788 0.793 0.811,,
33c820d546,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.6,3,15,True,True,0.527 0.538 0.529,0.61 0.619 0.609,0.685418380263934,0.6144569282857945
36c1d0a5c8,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.464 0.475 0.602,0.572 0.538 0.625,0.60371526209526,0.5413270130917184
36d0e2c441,cifar10,resnet34,drp=0.3,sgd,lr=0.01,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.964 0.402 0.759,0.993 0.633 0.792,,
376f43b880,cifar10,resnet34,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,1.156 1.193 1.146,1.156 1.175 1.11,,
390d6b2d69,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.885 0.855 0.862,0.912 0.856 0.885,0.7028317207154978,0.6719376646328977
397e2f0783,cifar10,resnet34,drp=0,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.758 0.723 0.824,0.813 0.803 0.864,,
3a222f19de,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.613 0.626 0.717,0.666 0.685 0.737,0.6773003037669201,0.6199142316445172
3a5272c913,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.39 0.315 0.378,0.44 0.372 0.407,,
