index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,correctness-train-auc,correctness-validation-auc
80f624bf154,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8518136287554167,0.8010631287600334
82eee5393de,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9103854922736382,0.8675228766786833
860e2edde04,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8291005798629163,0.7956014151894908
86ae3f2547f,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8333962536733902,0.7517686208629194
8abec5251d7,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.896162519683963,0.8060427041682101
8dc80e6a54d,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9009930821183308,0.8828164049170547
94e7b0c5624,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7339880945237134,0.6650810981505928
98545a3eddd,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8146468822041233,0.7538274216643046
9b45938efb1,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8439565419909104,0.7719915796509785
9bf756402e8,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9565615101333453,0.8903924289537293
9e6d3b1fb78,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9152266907204121,0.8149136473152783
9fed2f4fc52,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9353285525672237,0.8237649472394344
