index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,test_acc,train_loss,validation_loss
6f50c2c73d2,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.3,ns=0.2,3,False,100,False,,,
e718433f597,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,sym,np=0.3,ns=0.2,3,False,100,False,,,
bad3d768d42,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.3,ns=0.2,3,False,100,False,,,
4b035464ff6,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,sym,np=0.3,ns=0.6,3,False,100,False,,,
91784874986,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.3,ns=0.6,3,False,100,False,,,
ecbe24dd317,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,sym,np=0.3,ns=0.6,3,False,100,False,,,
5a79f78b35c,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.3,ns=0.6,3,False,100,False,,,
82ffb7d7150,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,sym,np=0.4,ns=0.2,3,False,100,False,,,
66e635fdee9,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.4,ns=0.2,3,False,100,False,,,
0b569b8b264,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,sym,np=0.4,ns=0.2,3,False,100,False,,,
44be67d9ad7,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.4,ns=0.2,3,False,100,False,,,
347866d507c,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,sym,np=0.4,ns=0.6,3,False,100,False,,,
ac9c253eaa9,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.4,ns=0.6,3,False,100,False,,,
f1215fb2870,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,sym,np=0.4,ns=0.6,3,False,100,False,,,
75277455306,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.4,ns=0.6,3,False,100,False,,,
ad243cba4c4,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,sym,np=0.5,ns=0.2,3,False,100,False,,,
23970094275,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.5,ns=0.2,3,False,100,False,,,
03313000186,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,sym,np=0.5,ns=0.2,3,False,100,False,,,
2aa9a72417c,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.5,ns=0.2,3,False,100,False,,,
eb16c1da2ba,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,sym,np=0.5,ns=0.6,3,False,100,False,,,
8d0b9de4f10,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.5,ns=0.6,3,False,100,False,,,
67f37607949,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,sym,np=0.5,ns=0.6,3,False,100,False,,,
2cc9ad7fe77,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,sym,np=0.5,ns=0.6,3,False,100,False,,,
06f17956534,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,asym,np=0.1,ns=0.2,3,False,100,False,,,
0903cc9bafc,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.1,ns=0.2,3,False,100,False,,,
291710fc29b,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,asym,np=0.1,ns=0.2,3,False,100,False,,,
607743b0576,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.1,ns=0.2,3,False,100,False,,,
3f87d073796,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,asym,np=0.1,ns=0.6,3,False,100,False,,,
